"2 Chainz And Drake-","No Lie (Clean)"
"Elizalde, Valentin","Si Me Ven"
"Elizalde, Valentin","Un Sueno De Tantos"
"Elizalde, Valentin","Vencedor"
"Elizalde, Valentin","Vete Con El"
"Elizalde, Valentin","Volvere A Amar"
"Elizalde, Valentin","Y No Me Lo Das"
"Elizalde, Valentin","Ya Viene Amaneciendo"
"Elizalde, Valentin","Ya Viene Amaneciendo (c -2da.)"
"Elizalde, Valentin","Yo"
"Ella y el","Jose Luis Perales"
"Ellie Goulding","Starry Eyed"
"Ellie Goulding","Starry Eyed (MPX)"
"Emeli Sand","My Kind Of Love"
"Emeli Sand","My Kind Of Love (MPX)"
"Emilio Navaira","Como Le Hare"
"Emilio Navaira","Rueda de fortuna"
"Emilio Navaira","Rueda De Fortuna"
"Emily Cranz","Yo Lo Seguire"
"Emmanuel","Al final"
"Emmanuel","Amor sin final"
"Emmanuel","Bella señora"
"Emmanuel","Con Olor A Hierba"
"Emmanuel","Con qué derecho"
"Emmanuel","Corazón de melao"
"Emmanuel","Detenedla Ya"
"Emmanuel","El Bodeguero"
"Emmanuel","El hombre del piano"
"Emmanuel","Es mi mujer"
"Emmanuel","Esa Triste Guitarra"
"Emmanuel","Este Terco Corazon"
"Emmanuel","La Chica De Humo"
"Emmanuel","La última luna"
"Emmanuel","Luces De Bohemia"
"Emmanuel","Pobre diablo"
"Emmanuel","Quiero Dormir Cansado"
"Emmanuel","Sentirme vivo"
"Emmanuel","Sera"
"Emmanuel","Si ese tiempo pudiera volver"
"Emmanuel","Sin caballero no hay dama"
"Emmanuel","Solo"
"Emmanuel","Toda La Vida"
"Emmanuel","Todo Se Derrumbo"
"Emmanuel","Tu Y Yo"
"Emmanuel","Ven con el alma desnuda"
"Enanitos Verdes","La Muralla"
"Enanitos Verdes","Tus Viejas Cartas"
"Encuentro Norteno","Dos Velas Encendidas"
"Encuentro Norteno","Perdon Por Que"
"Encuentro Norteno","Por Si No Lo Sabias"
"Endorphin","Radio Funk"
"Endorphin","Zoe"
"Enigma Norteño","Amor imposible"
"Enigma Norteño","Amor imposible"
"Enigma Norteño","Corazon dividido"
"Enigma Norteño","Corazon dividido"
"Enigma Norteño","El adios al Guerito"
"Enigma Norteño","El adios al Guerito"
"Enigma Norteño","El mayito gordo"
"Enigma Norteño","El mayito gordo"
"Enigma Norteño","Generales de batalla"
"Enigma Norteño","Generales de batalla"
"Enigma Norteño","La Expo agro"
"Enigma Norteño","La Expo agro"
"Enigma Norteño","Los lujos del R"
"Enigma Norteño","Los lujos del R"
"Enigma Norteño","Los sicarios de Joaquin"
"Enigma Norteño","Los sicarios de Joaquin"
"Enigma Norteño","Que seas feliz"
"Enigma Norteño","Que seas feliz"
"Enigma Norteño","Se te olvido"
"Enigma Norteño","Se te olvido"
"Enigma Norteño","Un idiota como yo"
"Enigma Norteño","Un idiota como yo"
"Enigma Norteño","Y si supieras"
"Enigma Norteño","Y si supieras"
"Enrique Guzman","Con y por amor"
"Enrique Guzman","Lo Se"
"enrique guzman","princesita"
"Enrique Iglesias & Juan Luis Guerra","Cuando me enamoro"
"Enrique Y Ana","Alibombo"
"Eres","Napoleon"
"Eric Benet","Harriett Jones"
"Eric Benet","Harriett Jones (MPX)"
"Eric Benet","Lay It Down"
"Eric Benet","Lay It Down (MPX)"
"Eric Benet","Real Love"
"Eric Benet","Real Love (MPX)"
"Eric Hutchinson","Watching You Watch Him"
"Eric Hutchinson","Watching You Watch Him (MPX)"
"Eros Ramazzotti","La cosa mas bella"
"Eros Ramazzotti","Por ti me casare"
"Escobar, Erick Y La Decision Vallenata","No Pude Quitarte Las Espinas"
"Escobar, Erick Y La Decision Vallenata","No Pude Quitarte Las Espinas (-1)"
"Esnavi","Unexpected Love"
"Esnavi","Unexpected Love (MPX)"
"Esperanza Spalding","Black Gold"
"Esperanza Spalding","Black Gold (MPX)"
"Espinoza Paz","Asi O Mas"
"Espinoza Paz","Carita de perdon"
"Espinoza Paz","Como un tatuaje"
"Espinoza Paz","Cuando el sol salga al reves"
"Espinoza Paz","De Tantos Fracasos"
"Espinoza Paz","El Celular"
"Espinoza Paz","El vaso derrama"
"Espinoza Paz","Espero"
"Espinoza Paz","Inolvidable"
"Espinoza Paz","Mas adelante"
"Espinoza Paz","Me Voy"
"Espinoza Paz","Olvidame tu"
"Espinoza Paz","Para No Perderte"
"Espinoza Paz","Prohibido Perder"
"Espinoza Paz","Si Te olvidas De Mi"
"Espinoza Paz","Sobre mis pies"
"Espinoza Paz","Te compro"
"Espinoza Paz","Te perdonaria"
"Espinoza Paz","Un hombre normal"
"Espinoza Paz","Un hombre normal"
"Estefan, Gloria","Hoy"
"Estefan, Gloria","Hoy (spanglish)"
"Estefan, Gloria","Mi Tierra"
"Estelle","Cold Crush"
"Estelle","Cold Crush (MPX)"
"Estelle","Love The Way We Used To"
"Estelle","Love The Way We Used To (MPX)"
"Estelle feat. Janelle Mon e","Do My Thing"
"Estelle feat. Janelle Mon e","Do My Thing (MPX)"
"Eurythmics","Here Comes The Rain Again"
"Eve To Adam","School's Out"
"Eve To Adam","School's Out (MPX)"
"Exitos Rancheros","Acuarela Potosina"
"Exitos Rancheros","Alla en El Rancho Grande"
"Exitos Rancheros","Ay! Jalisco No Te Rajes"
"Exitos Rancheros","Caminos De Michoacan"
"Exitos Rancheros","Cancion Mixteca"
"Exitos Rancheros","Cielito Lindo"
"Exitos Rancheros","Cocula"
"Exitos Rancheros","El Son de La Negra"
"Exitos Rancheros","En Tu Dia"
"Exitos Rancheros","Las Golondrinas"
"Exitos Rancheros","Las Mañanitas"
"Exitos Rancheros","Mexico Lindo"
"Exitos Rancheros","Paso Del Norte"
"Exterminador","La fiesta"
"Exterminador","La fiesta"
"Exterminador","Las dos monjas"
"fabricio","multiplicacion"
"Factoria","Que Me Maten"
"Factoria","Todavia"
"fake track, do not rip","fake track, do not rip"
"fake track, do not rip","fake track, do not rip"
"fake track, do not rip","Siempre Te Recordare"
"Family Force 5","Can You Feel It"
"Family Force 5","Can You Feel It (MPX)"
"Family Force 5","Wobble"
"Family Force 5","Wobble (MPX)"
"Family of the Year","Hero"
"Family of the Year","Hero (MPX)"
"Fanny Lu","Regalame un beso"
"Farias, Juanito","Caballo De Palo"
"Fat Joe feat. Chris Brown","Another Round"
"Fat Joe feat. Chris Brown","Another Round (MPX)"
"Features","This Disorder"
"Feist","Bad In Each Other"
"Feist","Bad In Each Other (MPX)"
"Feist","How Come You Never Go There"
"Feist","How Come You Never Go There (MPX)"
"Feliciano, Cheo","Amada Mia"
"Feliciano, Cheo","Anacaona"
"Feliciano, Cheo","El Pito"
"Feliciano, Cheo","El Ratón"
"Feliciano, Cheo","Incomparable"
"Feliciano, Cheo","Juan Albanil"
"Feliciano, Cheo","Los Entierros"
"Feliciano, Cheo","Salome"
"Feliciano, Jose & Ann Kelly","Para Decir Adios"
"Feliciano, Jose & Jose Jose","Por Ella"
"Fergie & Will.I.Am","Fergalicious"
"Fernandez, Alejandro","Cascos Ligeros"
"Fernandez, Alejandro","Como Quien Pierde Una Estrella"
"Fernandez, Alejandro","Como Quien Pierde Una Estrella"
"Fernandez, Alejandro","Cuando Yo Queria Ser Grande"
"Fernandez, Alejandro","Dos Mujeres, Un Camino"
"Fernandez, Alejandro","Ensename Tus Manos"
"Fernandez, Alejandro","Llorando Penas"
"Fernandez, Alejandro","Loco"
"Fernandez, Alejandro","Luchare Por Tu Amor"
"Fernandez, Alejandro","Matalas"
"Fernandez, Alejandro","Me Dedique A Perderte"
"Fernández, Alejandro","Me Dedique A Perderte"
"Fernandez, Alejandro","Me Dedique A Perderte (Tono +1)"
"Fernandez, Alejandro","Mono Negro"
"Fernandez, Alejandro","Nina Amada Mia"
"Fernandez, Alejandro","No Se Me Hace Facil"
"Fernandez, Alejandro","Nube Viajera"
"Fernandez, Alejandro","Piel De Nina"
"Fernandez, Alejandro","Que Lastima"
"Fernandez, Alejandro","Que Lastima"
"Fernandez, Alejandro","Que Lastima (Tono+1)"
"Fernandez, Alejandro","Que Voy Hacer Con Mi Amor"
"Fernandez, Alejandro","Si He Sabido Amor"
"Fernandez, Alejandro","Si Tu Supieras"
"Fernandez, Alejandro","Tantita Pena"
"Fernandez, Alejandro","Te Voy A Perder"
"Fernandez, Pedro","Eres Toda Una Mujer"
"Fernandez, Pedro","La Bala"
"Fernandez, Pedro","Yo No Fui"
"Fernandez, Vicente","A Donde Vas Que Mas Valgas"
"Fernandez, Vicente","A Pesar De Todo"
"Fernandez, Vicente","A Tu Salud"
"Fernandez, Vicente","Aca Entre Nos"
"Fernandez, Vicente","Aca Entre Nos"
"Fernandez, Vicente","Alejandra"
"Fernandez, Vicente","Amor De Los Dos"
"Fernandez, Vicente","Amor Eterno"
"Fernandez, Vicente","Aprendiste A Volar"
"Fernandez, Vicente","Aun Se Acuerda De Mi"
"Fernandez, Vicente","Aunque Me Duele El Alma"
"Fernandez, Vicente","Ay Amigo"
"Fernandez, Vicente","Bohemio De Aficion"
"Fernandez, Vicente","Borracho Te Recuerdo"
"Fernandez, Vicente","Caballo Alazan Lucero"
"Fernandez, Vicente","Caballo Alazan Lucero"
"Fernandez, Vicente","Caballo Prieto Afamado"
"Fernandez, Vicente","Caballo Prieto Azabache"
"Fernandez, Vicente","Como Mexico No Hay Dos"
"Fernandez, Vicente","Con Golpes De Pecho"
"Fernandez, Vicente","Con Golpes En El Pecho"
"Fernandez, Vicente","Corrido De Juan Armenta"
"Fernandez, Vicente","De Que Manera Te Olvido"
"Fernandez, Vicente","De Que Manera Te Olvido"
"Fernandez, Vicente","De Que Tamano Me Quieres"
"Fernandez, Vicente","De Siete A Nueve"
"Fernandez, Vicente","De Un Rancho A Otro"
"Fernandez, Vicente","Desolacion"
"Fernandez, Vicente","El Adios A La Vida"
"Fernandez, Vicente","El Alazan Y El Rocillo"
"Fernandez, Vicente","El Arracadas"
"Fernandez, Vicente","El Ayudante"
"Fernandez, Vicente","El Cantador"
"Fernandez, Vicente","El Corrido De Monterrey"
"Fernandez, Vicente","El Cuatrero"
"Fernandez, Vicente","El Desinfle"
"Fernandez, Vicente","El Moro De Cumpas"
"Fernandez, Vicente","El Palenque"
"Fernandez, Vicente","El Potro Lobo Gateado"
"Fernandez, Vicente","El Remedio"
"Fernandez, Vicente","El Rey"
"Fernandez, Vicente","El Rey"
"Fernandez, Vicente","El Rey Tiburon"
"Fernandez, Vicente","El Senor De Las Canas"
"Fernandez, Vicente","El Tapatio"
"Fernandez, Vicente","Entre El Amor Y Yo"
"Fernandez, Vicente","Escuche Las Golondrinas"
"Fernandez, Vicente","Estatua De Marfil"
"Fernandez, Vicente","Guadalajara"
"Fernandez, Vicente","Hasta La Tumba"
"Fernandez, Vicente","Hermoso Carino"
"Fernandez, Vicente","Hermoso Carino"
"Fernandez, Vicente","Hoy Platique Con Mi Gallo"
"Fernandez, Vicente","La Barca De Guaymas"
"Fernandez, Vicente","La Caminera"
"Fernandez, Vicente","La Ley Del Monte"
"Fernandez, Vicente","La Ley Del Monte"
"Fernandez, Vicente","La Misma"
"Fernandez, Vicente","La Muerte De Un Gallero"
"Fernandez, Vicente","La Primera Coin Agua"
"Fernandez, Vicente","La Tienda"
"Fernandez, Vicente","La Tragedia Del Vaquero"
"Fernandez, Vicente","Las Llaves De Mi Alma"
"Fernandez, Vicente","Lastima Que Seas Ajena"
"Fernandez, Vicente","Lastima Que Seas Ajena"
"Fernandez, Vicente","Los Mandados"
"Fernandez, Vicente","Marioneta"
"Fernandez, Vicente","Me Quedan Todas"
"Fernandez, Vicente","Mi Amigo El Tordillo"
"Fernandez, Vicente","Motivos"
"Fernandez, Vicente","Motivos"
"Fernandez, Vicente","Mujeres Divinas"
"Fernandez, Vicente","Mujeres Divinas"
"Fernandez, Vicente","Ni En Defensa Propia"
"Fernandez, Vicente","No Me Se Rajar"
"Fernandez, Vicente","No Me Se Rajar"
"Fernandez, Vicente","Nos Estorbo La Ropa"
"Fernandez, Vicente","Nos Estorbo La Ropa"
"Fernandez, Vicente","Nuestro Juramento"
"Fernandez, Vicente","Para Siempre"
"Fernandez, Vicente","Perdon"
"Fernandez, Vicente","Perdon"
"Fernandez, Vicente","Por Tres Monedas"
"Fernandez, Vicente","Por Tu Maldito Amor"
"Fernandez, Vicente","Prieto Azabache"
"Fernandez, Vicente","Que Dios Te Perdone"
"Fernandez, Vicente","Que Dios Te Perdone"
"Fernandez, Vicente","Que Sepan Todos"
"Fernandez, Vicente","Que Te Vas, Te Vas"
"Fernandez, Vicente","Se Me Hizo Tarde La Vida"
"Fernandez, Vicente","Senora De Tal"
"Fernandez, Vicente","Si Acaso Vuelves"
"Fernandez, Vicente","Si No Te Quisiera"
"Fernandez, Vicente","Si No Te Quisiera"
"Fernandez, Vicente","Soy De Abajo"
"Fernandez, Vicente","Sublime Mujer"
"Fernandez, Vicente","Tu Camino Y El Mio"
"Fernandez, Vicente","Tu Voz"
"Fernandez, Vicente","Un Minuto De Silencio"
"Fernandez, Vicente","Volver, Volver"
"Fernandez, Vicente","Volver, Volver"
"Fernandez, Vicente","Voy A Navegar"
"Fernandez, Vicente","Ya Me Voy Para Siempre"
"Fernandez, Vicente","Yo Quiero Ser"
"Fernandez, Vicente Con Ana Gabriel","Con Un Mismo Corazon"
"Fernandez, Vicente Y Roberto Carlos","Aunque Mal Paguen Ellas"
"Ferreira, Zacarias","Novia Mia"
"Ferro, Tiziano","No Me Lo Puedo Explicar"
"Ferro, Tiziano","Perdona"
"Ferro, Tiziano","Y Estaba Contentisimo"
"Fey","Azucar Amargo"
"Fey","Barco A Venus"
"Fey","Gatos En El Balcon"
"Fey","La Fuerza Del Destino"
"Fey","Media Naranja"
"Fidel Rueda","Enhorabuena"
"Fidel Rueda","Enhorabuena"
"Fidel Rueda","Tu ya eres cosa del pasado"
"Fievre Loka, La","El amor mas grade del planeta"
"Fievre Loka, La","El amor mas grade del planeta"
"Fievre Loka, La","Frente a frente"
"Fievre Loka, La","Frente a frente"
"Fievre Looka","El amor mas grande del planeta"
"Fievre Looka","Infiel"
"Fievre Looka, La","Infiel"
"Fievre Looka, La","Infiel"
"Finatticz","Don't Drop That Thun Thun"
"Finatticz","Don't Drop That Thun Thun (MPX)"
"Firma","Me vas a hacer mucha falta"
"Firma","Me vas a hacer mucha falta"
"Firma a Duo vovalista Del Duelo","Ella solo es mia"
"Firma y El Duelo, La","Ella es solo mia"
"Firma y El Duelo, La","Ella es solo mia"
"Firma Y Ricky Munoz, La","Por El Amor De Una Mujer"
"Firma, La","Cerquitas de ti"
"Firma, La","Cerquitas de ti"
"Firma, La","Como Olvidarla?"
"Firma, La","Con La Intencion De Lastimarme"
"Firma, La","La Llamada"
"Firma, La","Lo Aprendi De Ti"
"Firma, La","Un amor como el nuestro"
"Firma, La","Un amor como el nuestro"
"Fito Paez","circo beat"
"Fitz and The Tantrums","Out Of My League"
"Flans","Mil Y Una Las Noches"
"Flight Of The Conchords","Most Beautiful Girl, The (In The Room)"
"Florence + The Machine","Breath Of Life"
"Florence + The Machine","Breath Of Life (MPX)"
"Florence + The Machine","No Light, No Light"
"Florence + The Machine","No Light, No Light (MPX)"
"Floricienta","1-2-3"
"Floricienta","Corazones en el viento"
"Floricienta","Flores Amarillas"
"Floricienta","Nikiriki"
"Floricienta","Pobres los ricos"
"Floricienta","Por Que Volviste A Mi"
"Flyleaf","Call You Out"
"Flyleaf","Call You Out (MPX)"
"Fobia","Microbito"
"Fonseca","Arroyito"
"Fonsi, Luis","Abrazar La Vida"
"Fonsi, Luis","Nada Es Para Siempre"
"Fonsi, Luis","Por Ti Podria Morir"
"Fonsiv, Luis","Imaginame Sin Ti"
"Foo Fighters","These Days"
"Foo Fighters","These Days (MPX)"
"Foster & Allen","Bunch Of Thyme, A"
"Foster & Allen","I'll Take You Home Again Kathleen"
"Foster & Allen","If Only We Had Ireland Over Here"
"Foster & Allen","Maggie"
"Foster The People","Don't Stop (Color On The Walls)"
"Foster The People","Don't Stop (Color On The Walls) (MPX)"
"Foster The People","Pumped Up Kicks"
"Foster The People","Pumped Up Kicks (MPX)"
"Francis, Connie","It's A Great Day To Be Irish"
"Francisco Cespedes","Vida loca"
"Franco de Vita","Te amo"
"Frank Ocean","Pyramids"
"Frank Ocean","Pyramids (MPX)"
"Frank Ocean","Thinkin Bout You"
"Frank Ocean","Thinkin Bout You (MPX)"
"Franklin Mckay","Destiny"
"Franklin Mckay","Destiny (MPX)"
"Franklin McKay","More Than A Memory"
"Franklin McKay","More Than A Memory (MPX)"
"Freddy's","Dejame Llorar"
"Freddys, Los","Amor de los dos"
"Freddys, Los","Aquel Amor"
"Freddys, Los","Aunque Me Hagas llorar"
"Freddys, Los","Con Ganas De Llorar"
"Freddys, Los","El cariño que perdi"
"Freddys, Los","El Primer Tonto"
"Freddys, Los","Es mejor decir adios"
"Freddys, Los","La Peor De mis Derrotas"
"Freddys, Los","Mato mi corazon"
"Freddys, Los","Que te ha dado esa mujer"
"Freddys, Los","Si acaso vuelves"
"Freddys, Los","Sin tu Amor"
"Freddys, Los","Tu inolvidable sonrisa"
"Fresa Salvaje","Interrogacion"
"Frey, Glenn","Heat Is On, The"
"Furtado, Nelly & Juanes","Fotografía"
"Furtado, Nelly & Juanes","Te Busque"
"Future","Go Harder"
"Future","Go Harder (MPX)"
"Future","Neva End"
"Future","Neva End (MPX)"
"Future","Permanent Scar"
"Future","Permanent Scar (MPX)"
"Future","Same Damn Time"
"Future","Same Damn Time (MPX)"
"Future","Turn On The Lights"
"Future","Turn On The Lights (MPX)"
"Future feat T.I.","Magic"
"Future feat T.I.","Magic (MPX)"
"Gabriel, Ana","Demasiado Tarde"
"Gabriel, Ana","Ni Un Roce"
"Gabriel, Ana","Simplemente Amigos"
"Gabriel, Ana Y Vicky Carr","Cosas Del Amor"
"Gabriel, Juan","A Mi Guitarra"
"Gabriel, Juan","Abrazame Muy Fuerte"
"Gabriel, Juan","Adios Amor, Te Vas"
"Gabriel, Juan","Amor Eterno"
"Gabriel, Juan","Amor Eterno T (-1)"
"Gabriel, Juan","Aunque Te Enamores"
"Gabriel, Juan","Buenos Dias Senor Sol"
"Gabriel, Juan","Con Todo Y Mi Tristeza"
"Gabriel, Juan","Con Todo Y Mi Tristeza T (-1)"
"Gabriel, Juan","Con Tu Amor"
"Gabriel, Juan","Con Un Poco De Amor"
"Gabriel, Juan","Cuando Quieras Dejame"
"Gabriel, Juan","Cuando Quieras Dejame T (-1)"
"Gabriel, Juan","Donde Andara"
"Gabriel, Juan","El Mexico Que Se Nos Fue"
"Gabriel, Juan","El Palo"
"Gabriel, Juan","Hasta Que Te Conoci"
"Gabriel, Juan","Insensible"
"Gabriel, Juan","Me He Quedado Solo"
"Gabriel, Juan","Mi Fracaso"
"Gabriel, Juan","Pero Que Necesidad"
"Gabriel, Juan","Que Chasco Me Lleve"
"Gabriel, Juan","Que Chasco Me Lleve T (-1)"
"Gabriel, Juan","Sera Mañana"
"Gabriel, Juan","Siempre En Mi Mente"
"Gabriel, Juan","Te Quiero Mucho"
"Gabriel, Juan","Tengo Que Olvidar"
"Gabriel, Juan","Todo"
"Gabriel, Juan","Todo T (-1)"
"Gabriel, Juan","Yo Me Voy"
"Gabriel, Juan","Yo Me Voy T (-1)"
"Gabriel, Juan","Yo No Se Que Me Paso"
"Gabriel, Juan Y Rocio Durcal","El Destino"
"Gallardo, Miguel","Otro Ocupa Mi Luga"
"Gamma","Tu me haces volar"
"Gamma","Tu me haces volar"
"Gamma","Tu me haces volar"
"Gamma","Tu me haces volar"
"Garbage","Blood For Poppies"
"Garbage","Blood For Poppies (MPX)"
"Garcia Bros.","Quien te puede amar"
"Garcia Bros.","Sabes amor"
"Garcia Bros., Los","Quien Te Puede Amar"
"Garcia, Elsa","Todavia"
"Garcia, Kany","Hoy Ya Me Voy"
"Garcia, Kany","Que Nos Paso"
"Garcia, Victor","Loco Por Ti"
"Garcias Bros, Los","Sabes Amor"
"Garibaldi","La bolita"
"Garibaldi","La Ventanita"
"Gary Hobbs","Te vas a acordar"
"Gary Hobbs","Te vas a acordar"
"Gary Hobbs","Te vas a acordar"
"Gatos Negros, Los","Yolanda"
"Geles, Omar Y Esmeralda Orozco","Hoja En Blanco"
"Gerardo Ortiz","Amor Confuso"
"Gerardo Ortiz","Amor Confuso"
"Gerardo Ortiz","Aquiles Firmo"
"Gerardo Ortiz","Aquiles Firmo"
"Gerardo Ortiz","Cara a la Muerte"
"Gerardo Ortiz","Cara a la Muerte"
"Gerardo Ortiz","El mundo es tuyo"
"Gerardo Ortiz","El mundo es tuyo"
"Gerardo Ortiz","Este Amor"
"Gerardo Ortiz","Este Amor"
"Gerardo Ortiz","La ultima sombra"
"Gerardo Ortiz","La ultima sombra"
"Gerardo Ortiz","Leyenda Caro Qiontero"
"Gerardo Ortiz","Leyenda Caro Qiontero"
"Gerardo Ortiz","Me emociona"
"Gerardo Ortiz","Me emociona"
"Gerardo Ortiz","Me voy"
"Gerardo Ortiz","Me voy"
"Gerardo Ortiz","Morir con estilo"
"Gerardo Ortiz","Morir con estilo"
"Gerardo Ortiz","Sangre Azul"
"Gerardo Ortiz","Sangre Azul"
"Gerardo Ortiz","Se canso"
"Gerardo Ortiz","Se canso"
"Gerardo Reyes","Bohemio de aficion"
"Gerardo Reyes","Cargando con mi cruz"
"Gerardo Reyes","El preso numero nueve"
"Gerardo Reyes","El rey de los caminos"
"Gerardo Reyes","Libro abierto"
"Gerardo Reyes","Nada contigo"
"Gerardo Reyes","Que nos entierren juntos"
"Gerardo Reyes","Quisiera amarte menos"
"Gerardo Reyes","Rayando el sol"
"Gerardo Reyes","Se volteo la moneda"
"Gerardo Reyes","Tumba olvidada"
"Gerardo Reyes","Ya vas carnal"
"Germ†n Montero","No te detengas"
"Gianluca Grignani","Mi Historia Entre Tus Dedos"
"Gianmarco","Se Me Olvidó"
"Gigante De America","De que te quiero, te quiero"
"Gigante De America","De que te quiero, te quiero"
"Gigante De America, El","Huella Digital"
"Gigante De America, El","Quitame"
"Gigante De America, El","Senor Mesero"
"Gloria Trevi","Brincan Los Borregos"
"Gloria Trevi","Cinco minutos"
"Gloria Trevi","Con Los Ojos Cerrados"
"Gloria Trevi","Dr. Psiquiatra"
"Gloria Trevi","El Recuento De Los Daños"
"Gloria Trevi","Gloria"
"Gloria Trevi","Hoy Me Iré De Casa"
"Gloria Trevi","La Papa Sin Catsup"
"Gloria Trevi","Me rio de ti"
"Gloria Trevi","Me rio de ti"
"Gloria Trevi","Me Siento Tan Sola"
"Gloria Trevi","Pelo Suelto"
"Gloria Trevi","Qué Voy A Hacer Sin él?"
"Gloria Trevi","Siempre A Mí"
"Gloria Trevi","Tu ángel De La Guarda"
"Gloria Trevi","Vestida de azucar"
"Gloria Trevi","Vestida de azucar"
"Gloria Trevi","Zapatos Viejos"
"Golpe","Nunca Dudes De Mi"
"Golpe, El","Cuentame"
"Gonzalez, Diego","Mas"
"Grace Potter & The Nocturnals","Stars"
"Grace Potter & The Nocturnals","Stars (MPX)"
"Gran Combo, El","Timbalero (salsa)"
"Gran Silencio, El","Dormir Sonando"
"Green Day","When I Come Around"
"Grupo Atardecer","Mi Eterno Amor Secreto"
"Grupo Canaveral","No Te Voy A Perdonar"
"Grupo Canaveral","Tiene Espinas El Rosal"
"Grupo Duelo","Por Que No Te Marchas"
"Grupo Flash","Pero tu no estas"
"Grupo Ladron","Estoy Enamorado"
"Grupo Ladron","Estoy Enamorado - Tono Bajo"
"Grupo Mania","Telefono (merengue)"
"Grupo Niche","Ana Mile (salsa)"
"Grupo Niche","Devorame Otra Vez"
"Grupo Palomo","El infiel mas fiel"
"Grupo Palomo","El infiel mas fiel"
"Grupo Pesado","Arrancame"
"Grupo Pesado","Ayudame"
"Grupo Pesado","Dia Tras Dia"
"Grupo Pesado","Dile"
"Grupo Pesado","Hasta Tu Corazon"
"Grupo Pesado","Mundo De Amor"
"Grupo Pesado","No Podemos Continuar"
"Grupo Pesado","No Te La Vas A Acabar"
"Grupo Pesado","Pequeno Amor"
"Grupo Pesado","Pero Se Fue"
"Grupo Pesado","Tu Como Si Nada"
"Grupo Pesado","Y Tu Por Que No"
"Grupo Saya","He Creido"
"Grupo Solido","Nada Me Expliques Mas"
"Grupo Timbiriche","Acelerar"
"Grupo Timbiriche","Amame Hasta Con Los Dientes"
"Grupo Timbiriche","Besos De Ceniza"
"Grupo Timbiriche","Con Todos Menos Conmigo"
"Grupo Timbiriche","Corro, Vuelo, Me Acelero"
"Grupo Timbiriche","Magico Amor"
"Grupo Timbiriche","Mirame ( Cuestion De Tiempo )"
"Grupo Timbiriche","Muriendo Lento"
"Grupo Timbiriche","Princesa Tibertana"
"Grupo Timbiriche","Si No Es Ahora"
"Grupo Timbiriche","Soy Un Desastre"
"Grupo Timbiriche","Tu Y Somos Uno Mismo"
"Grupo Vaquero","Eres un encanto"
"Grupo Yndio","Herida de amor"
"Grupo Yndio","Por Que Nos Dijimos Adios"
"Grupo Yndio","Sin tu amor"
"Grupo Zaaz","Volverte a ver"
"Gualberto Castro","Quien partira"
"Guardianes de Amor","El Perro El Gato y Yo"
"Guardianes de Amor","El Perro El Gato y Yo_TonoBajo"
"Guardianes Del Amor","Cuartro Palabras"
"Guatemala","Mi Plegaria"
"Guerra, Juan Luis","Burbujas De Amor"
"Guerra, Juan Luis","Woman Del Callao"
"Gusana Ciega, La","Tornasol"
"Gustavo Cerati","Crimen"
"Gustavo Cerati","Deja vu"
"Gutierrez, Alfredo","El Diario De Un Borracho"
"Guzman, Alejandra","Cuidado Con El Corazon"
"Guzman, Alejandra","Cuidado Con El Corazon"
"Guzman, Alejandra","Eternamente Bella"
"Guzman, Alejandra","Guantes De Seda"
"Guzman, Alejandra","Guera"
"Guzman, Alejandra","Hacer El Amor Con Otro"
"Guzman, Alejandra","La Ciudad Ardio"
"Guzman, Alejandra","Llama Por Favor"
"Guzman, Alejandra","Loca"
"Guzman, Alejandra","Loca (tona+1)"
"Guzman, Alejandra","Luz De Luna"
"Guzman, Alejandra","Luz De Luna (Tona+1)"
"Guzman, Alejandra","Mala Hierba"
"Guzman, Alejandra","Mala Hierba (Tona+1)"
"Guzman, Alejandra","Mirala, Miralo"
"Guzman, Alejandra","Quiero Estar Contigo"
"Guzman, Alejandra","Reina De Corazones"
"Guzman, Alejandra","Rosas Rojas"
"Guzman, Alejandra","Rosas Rojas (Tona+1)"
"Guzman, Alejandra","Tu Eres Mi Luz"
"Guzman, Alejandra","Ven"
"Guzman, Alejandra","Ven (Tona+1)"
"Guzman, Alejandro","Volverte A Amar"
"H2O","Si Esto No Es Amor"
"Ha Ash","Todo no fue suficiente"
"Ha-Ash","Amor A Medias"
"Ha-Ash","Boba Nina Nice"
"Ha-Ash","Como Odio Amarte"
"Ha-Ash","Estes En Donde Estes"
"Ha-Ash","Me entrego a ti"
"Ha-Ash","Si Pruebas Una Vez"
"Ha-Ash","Te Quedaste"
"Ha-Ash","Tu Mirada En Mí"
"Hall & Oates","You Make My Dreams"
"Hanson","Penny & Me"
"Haro, David","Ceniza Y Fuego"
"Haro, David","Le Llamaban Loca"
"Havana Brown feat. Pitbull","We Run The Night"
"Havana Brown feat. Pitbull","We Run The Night (MPX)"
"He-Ash","Soy Mujer"
"Heart","Fanatic"
"Heart","Fanatic (MPX)"
"Heart with Sarah McLachlan","Walkin' Good"
"Heart with Sarah McLachlan","Walkin' Good (MPX)"
"Heavy, The","What Makes A Good Man"
"Heavy, The","What Makes A Good Man (MPX)"
"Hector & Tito","Gata Celosa"
"Hector & Tito","Morena"
"Herederos de Nuevo Le¢n, Los","A partir de ahora"
"Herederos de Nuevo Le¢n, Los","No decidas por mi"
"Herederos De Nuevo Leon","El que se va"
